,X_CODE,Y_CODE,distance
0,139.911793,35.924245,0.0
1,139.911767,35.924212,4.348949845617905
2,139.91177,35.92421,4.403455505902259
3,139.911772,35.924207,4.622758381607688
4,139.91177,35.924207,4.699644495195395
5,139.911775,35.924205,4.726259986907999
6,139.911783,35.924207,4.311894850403369
7,139.911787,35.924205,4.471214885001702
8,139.911792,35.924202,4.772030144437167
9,139.911792,35.9242,4.993907410509424
10,139.91179,35.9242,5.000427133449376
11,139.911788,35.924198,5.2344937078377844
12,139.911787,35.924197,5.353421399151402
13,139.911785,35.924197,5.37467968960453
14,139.911787,35.924195,5.574243623238047
15,139.911787,35.924193,5.795149346660742
16,139.911785,35.924195,5.594662908290223
17,139.91179,35.924197,5.332842078488122
18,139.911792,35.924197,5.326729232801359
19,139.911792,35.924195,5.54861384593022
20,139.911792,35.924197,5.326729232801359
21,139.911793,35.924198,5.2150070387097704
22,139.911793,35.9242,4.993091845451738
23,139.911792,35.924202,4.772030144437167
24,139.911793,35.924205,4.43830386379199
25,139.911793,35.924208,4.1054310750023
26,139.911797,35.924208,4.1212722444809815
27,139.911798,35.924212,3.6893014987385486
28,139.911798,35.924217,3.1394125443113126
29,139.911795,35.92422,2.7798062568348882
30,139.911803,35.924237,1.2658772128843168
31,139.911805,35.924242,1.1330000909636309
32,139.911805,35.924245,1.0829980927030016
33,139.911807,35.924247,1.2828378489430983
34,139.911807,35.92425,1.3799334178585332
35,139.911808,35.92425,1.463018184556286
36,139.911808,35.924248,1.3940720360220684
37,139.911808,35.924247,1.3718159204723575
38,139.911808,35.924245,1.3537476178025427
39,139.911807,35.924242,1.3066104954452413
40,139.911807,35.92424,1.3799334909566447
41,139.911805,35.924238,1.332723827100208
42,139.911802,35.92424,0.983634835444802
43,139.911803,35.92424,1.059383377927089
44,139.911803,35.924237,1.2658772128843168
45,139.9118,35.924235,1.276818522730359
46,139.911797,35.924233,1.3795612625795115
47,139.911793,35.924232,1.4424487595191422
48,139.911788,35.924232,1.5113848949835087
49,139.911788,35.924232,1.5113848949835087
50,139.911787,35.924235,1.2346578816537799
51,139.911787,35.924235,1.2346578816537799
52,139.911787,35.924237,1.039789833283234
53,139.911787,35.924238,0.9468310672805674
54,139.911788,35.924238,0.8982726141634493
55,139.911787,35.924238,0.9468310672805674
56,139.911787,35.924238,0.9468310672805674
57,139.911785,35.924238,1.0604480345998752
58,139.911783,35.924237,1.2658772118244344
59,139.911782,35.924237,1.3317247634434182
60,139.91178,35.924237,1.4712078390205177
61,139.91178,35.92424,1.297806036808606
62,139.911782,35.92424,1.137250571238545
63,139.911783,35.92424,1.0593833758089801
64,139.911785,35.92424,0.9105338556082895
65,139.911788,35.924242,0.5607407124662571
66,139.91179,35.924243,0.35007379213264345
67,139.911792,35.924243,0.2395649968564505
68,139.91179,35.924245,0.27074952253448686
69,139.911793,35.924247,0.22191519383717395
70,139.911795,35.924248,0.3786613656560408
71,139.911795,35.924248,0.3786613656560408
72,139.911795,35.924248,0.3786613656560408
73,139.911797,35.92425,0.6618989671417345
74,139.911798,35.924255,1.1978249687840987
75,139.9118,35.924257,1.47376230067917
76,139.9118,35.92426,1.7802286259109805
77,139.911803,35.924262,2.091064857790409
78,139.911803,35.924263,2.1916792258731377
79,139.911803,35.924263,2.1916792258731377
80,139.911807,35.924265,2.5536369313635428
81,139.911807,35.924267,2.748678766349165
82,139.911808,35.924268,2.888851384465439
83,139.911808,35.924272,3.2875188090752276
84,139.91181,35.924273,3.464996283018086
85,139.911812,35.924275,3.7444339554143258
86,139.911808,35.924273,3.388940433537269
87,139.911803,35.924273,3.2352416274772673
88,139.9118,35.924277,3.6064072155089946
89,139.9118,35.924277,3.6064072155089946
90,139.911803,35.924277,3.6635460367020563
91,139.911802,35.924278,3.7506089140475813
92,139.911803,35.92428,3.9870037386672976
93,139.9118,35.924278,3.7156999679558096
94,139.911798,35.92428,3.9096446829289864
95,139.911798,35.92428,3.9096446829289864
96,139.911798,35.924282,4.130156204370806
97,139.911798,35.924283,4.240466886217057
98,139.911797,35.924285,4.452961029731601
99,139.911797,35.924287,4.674180402560295
100,139.911795,35.924287,4.663713336094767
101,139.911793,35.92429,4.993091882328709
102,139.911793,35.92429,4.993091882328709
103,139.911793,35.92429,4.993091882328709
104,139.911793,35.924288,4.771176687254344
105,139.911792,35.924287,4.66109289671508
106,139.911792,35.924285,4.439221382019884
107,139.911795,35.924283,4.2202504409341985
108,139.911795,35.924278,3.6660469011457066
109,139.911797,35.924275,3.348245815451302
110,139.911793,35.924275,3.328727917218662
111,139.911793,35.924275,3.328727917218662
112,139.911793,35.924277,3.5506431114272816
113,139.911793,35.924278,3.661600710130468
114,139.911793,35.92428,3.883515906141625
115,139.911793,35.924278,3.661600710130468
116,139.911792,35.924277,3.551789906335132
117,139.911792,35.924277,3.551789906335132
118,139.911792,35.924277,3.551789906335132
119,139.911793,35.924277,3.5506431114272816
120,139.911793,35.924277,3.5506431114272816
121,139.911797,35.924275,3.348245815451302
122,139.911797,35.924275,3.348245815451302
123,139.911797,35.924277,3.568947603842934
124,139.911797,35.924278,3.6793532382865513
125,139.911798,35.924278,3.6893014956211787
126,139.911798,35.92428,3.9096446829289864
127,139.911798,35.924278,3.6893014956211787
128,139.911802,35.924282,4.185010388871708
129,139.911803,35.924283,4.311894786389274
130,139.911808,35.924285,4.640169516250205
131,139.911808,35.924285,4.640169516250205
132,139.911808,35.924283,4.4283818028129005
133,139.91181,35.924282,4.382747791262332
134,139.911812,35.924278,4.043225909049695
