1718784892.2949972,"[0.294, -0.0686, 9.8882, 15.4432, 0.0, 0.0, -3.0, 17.0, -12.0]"
1718784892.8051019,"[0.2646, -0.0392, 9.996, 15.3216, 0.0, 0.0, -8.0, 15.0, -4.0]"
1718784893.3150206,"[0.3234, 0.0882, 9.996, 15.3824, 0.0, 0.0, -8.0, 15.0, -8.0]"
1718784893.825008,"[0.196, -0.0882, 9.8, 0.2432, 0.0, 0.0, -12.0, 16.0, -4.0]"
1718784894.334541,"[0.196, -0.0392, 9.9764, 0.0608, 0.0, 0.0, -10.0, 16.0, -4.0]"
1718784894.844348,"[0.294, 0.0588, 10.0058, 15.4432, 0.0, 0.0, -12.0, 12.0, -8.0]"
1718784895.3543394,"[0.5194, 0.1568, 10.0156, 15.3824, 0.0, 0.0, -11.0, 16.0, -4.0]"
1718784895.8640454,"[0.3332, 0.0588, 9.9372, 0.0, 0.0, 0.0, -11.0, 16.0, -8.0]"
1718784896.3740385,"[0.3724, -0.0098, 10.5448, 0.1216, 0.0, 0.0, -10.0, 13.0, -4.0]"
1718784896.8840203,"[0.4606, 0.0784, 10.5056, 0.0608, 0.0, 0.0, -10.0, 12.0, -4.0]"
1718784897.3940408,"[0.392, 0.0098, 10.6232, 0.0, 0.0, 0.0, -8.0, 5.0, -8.0]"
1718784897.9040225,"[0.4998, -0.0882, 10.5056, 0.0, 0.0, 0.0, -2.0, 1.0, -12.0]"
1718784898.4139547,"[0.4116, 0.0098, 10.5252, 0.0, 0.0, 0.0, -14.0, -11.0, -28.0]"
1718784898.923869,"[0.343, -0.0784, 9.7412, 0.2432, 0.0, 0.0, -13.0, -12.0, -52.0]"
1718784899.4338133,"[0.4018, 0.0686, 9.8882, 15.504, 0.0, 0.0, -8.0, -6.0, -60.0]"
1718784899.9433424,"[0.196, 0.0294, 9.9862, 15.504, 0.0, 0.0, -41.0, -40.0, -88.0]"
1718784900.4533381,"[0.294, 0.0294, 9.9666, 14.9568, 0.0, 0.0, -43.0, -19.0, -68.0]"
1718784900.963334,"[0.3724, -0.0784, 9.8882, 0.1216, 0.0, 0.0, -15.0, -13.0, -64.0]"
1718784901.4729354,"[0.2646, 0.0, 10.1626, 0.0608, 0.0, 0.0, 4.0, -15.0, -84.0]"
1718784901.9825487,"[0.3528, -0.1078, 9.9176, 0.1824, 0.0, 0.0, -13.0, -20.0, -116.0]"
1718784902.4924784,"[0.343, -0.0196, 10.045, 15.504, 0.0, 0.0, -24.0, -9.0, -96.0]"
1718784903.002473,"[0.3528, -0.0686, 9.8196, 0.1216, 0.0, 0.0, -32.0, 4.0, -72.0]"
1718784903.5124097,"[0.4606, -0.0882, 10.0352, 0.0, 0.0, 0.0, -1.0, 29.0, -16.0]"
1718784904.0223184,"[0.441, 0.0196, 10.094, 0.0608, 0.0, 0.0, -2.0, 3.0, -28.0]"
1718784904.5321972,"[0.3626, -0.0882, 10.094, 0.0, 0.0, 0.0, -5.0, -7.0, -52.0]"
1718784905.0421789,"[0.3528, 0.0588, 9.7902, 0.1216, 0.0, 0.0, -16.0, -16.0, -92.0]"
1718784905.552113,"[0.3234, 0.0392, 10.0744, 0.0608, 0.0, 0.0, -25.0, 13.0, -96.0]"
1718784906.0620532,"[0.3822, 0.0392, 10.0646, 15.4432, 0.0, 0.0, -17.0, 31.0, -68.0]"
1718784906.5720117,"[0.4018, 0.0294, 9.9666, 15.2, 0.0, 0.0, 19.0, 60.0, -52.0]"
1718784907.081954,"[0.3332, -0.0294, 9.947, 15.4432, 0.0, 0.0, 34.0, 58.0, -40.0]"
