latitude,longitude,azimuth
35.924377,139.912343,9.537299542275463
35.923633,139.911555,-13.74889789510246
35.924288,139.911512,-1.3165372970551061
35.924518,139.912107,-5.133202970364096
35.924593,139.91219,-0.17273812287476176
35.924512,139.91232,-1.0256064811552505
35.924537,139.91246,0.5268866041512013
35.924512,139.91248,1.0442086178490797
35.924438,139.912547,-7.941334602089
35.924455,139.912555,-1.916009044883367
35.92431,139.912408,-16.023062174357335
35.924332,139.91251,3.424520953653598
35.92418,139.912408,3.0914976897912005
35.924373,139.912433,-10.25899476668883
35.924453,139.91235,-7.123477983800626
35.924447,139.912398,-9.26325024335631
35.924305,139.91268,-10.374148684083877
35.924327,139.912717,1.9620825321703137
35.924268,139.912637,3.3703100180575802
35.924268,139.912637,6.012735630562403
