39.598558,-119.255205,156.93729405235493
39.598548,-119.255202,-125.59123830939006
39.59854,-119.2552,-105.9372211326313
39.598535,-119.255203,96.6824760116979
39.598532,-119.255208,-173.3178418919208
39.598525,-119.25521,-153.66410341091571
39.598522,-119.25521,-171.63322164266467
39.598515,-119.255213,130.37200811018124
39.598513,-119.255213,179.77072780431968
39.598515,-119.255212,-171.63330721766758
39.598507,-119.25521,-179.433301987799
39.598503,-119.25521,-178.28751047338693
39.598503,-119.255205,170.1782082682246
39.598498,-119.255207,170.97383190605683
