1720850186.26889,-0.4802, 4.3414, 4.2238, -6.7488, 295.6704, 171.3344, -62.0, -35.0, -36.0
1720850187.2836044,-0.7742, 8.3986, 5.341, -10.336, 155.5872, 96.1856, -65.0, 31.0, -48.0
1720850188.298346,-0.0294, 8.2614, 4.4982, 5.5328, -93.3888, -75.9392, -66.0, -28.0, -40.0
1720850189.3132422,-0.5194, 7.1932, 5.6644, 16.4768, -186.7168, -121.1744, -109.0, 40.0, 12.0
1720850190.3280034,-0.9898, 8.2026, 5.9976, -9.9712, -15.6256, -28.0896, -72.0, -46.0, -16.0
1720850191.3428566,-0.7546, 7.1246, 5.1842, -4.3168, 124.4576, 64.3872, -85.0, -39.0, -4.0
1720850192.3576179,-0.1764, 8.673, 5.6448, -11.9776, 124.4576, 88.3424, -96.0, 61.0, -4.0
1720850193.3723946,-0.588, 8.1928, 5.047, 7.7824, -31.1296, -3.1616, -64.0, 46.0, -40.0
1720850194.3874264,-0.3234, 7.9576, 5.047, 0.1824, -46.6944, -21.6448, -66.0, 54.0, -32.0
1720850195.4022973,-0.1862, 8.1242, 4.8412, 4.0736, 0.0, 14.9568, -76.0, 63.0, -20.0
1720850196.4171429,-0.1274, 8.5456, 5.4096, 1.4592, 0.0, 12.0992, -58.0, 35.0, -44.0
1720850197.431883,-0.6272, 7.546, 4.8608, 4.8032, -31.1296, -16.5376, -56.0, -14.0, -44.0
1720850198.4466398,-0.8428, 8.477, 5.488, 0.2432, 0.0, 2.3104, -51.0, 11.0, -52.0
1720850199.461568,-1.176, 7.2814, 4.6256, 0.8512, 15.5648, 9.2416, -52.0, 2.0, -48.0
1720850200.4762807,-1.0682, 8.1242, 5.7232, -4.0736, 15.504, -11.9168, -52.0, -10.0, -48.0
1720850201.491147,-0.8624, 8.5456, 5.5174, 2.6752, -15.5648, -12.6464, -55.0, 9.0, -48.0
1720850202.5058877,-0.5978, 8.2026, 5.586, -6.688, 31.0688, 1.4592, -51.0, 2.0, -48.0
1720850203.5206387,-0.6174, 8.4182, 5.2724, -0.304, -0.0608, -3.4048, -51.0, -9.0, -48.0
1720850204.5375307,-0.5978, 8.3986, 5.2528, -0.7904, -0.0608, -11.9776, -51.0, 4.0, -48.0
1720850205.5516267,-0.3528, 8.8592, 5.6056, -4.4384, 15.504, 13.6192, -50.0, -7.0, -48.0
1720850206.5659974,-0.5292, 8.4574, 5.5762, -2.6144, 15.504, 2.432, -52.0, -9.0, -48.0
1720850207.580262,-0.6174, 8.5652, 5.9976, 1.7024, -31.1296, -7.4784, -49.0, 10.0, -52.0
1720850208.594562,-0.4998, 8.0654, 5.4292, 4.864, -15.5648, -0.5472, -53.0, -1.0, -52.0
1720850209.6091104,-1.029, 8.379, 5.292, 2.4928, 0.0, 0.7904, -54.0, -6.0, -44.0
1720850210.6231613,0.735, 2.1854, 2.5382, 32.832, -31.008, 13.984, -74.0, -21.0, -40.0
1720850211.637602,1.9208, -1.862, 2.0286, 156.9248, -123.9104, -121.3568, -11.0, 28.0, -40.0
1720850212.651672,-1.0388, -1.911, 3.3026, 138.016, 16.0512, 23.8944, -25.0, 9.0, -72.0
1720850213.6659803,-0.49, -0.3724, -0.98, -89.8016, -420.6144, 33.3184, 41.0, 78.0, 68.0
1720850214.6805563,-4.0376, -1.029, 14.3668, 141.664, 296.2784, 167.1392, 79.0, -58.0, -44.0
1720850215.694994,-1.5386, -4.2532, 9.4374, 33.0752, 62.3808, 25.4752, 81.0, -48.0, -48.0
1720850216.7090511,-2.1854, -3.8514, 9.2806, -0.0608, -0.0608, -0.0608, 80.0, -51.0, -48.0
1720850217.722971,-1.9894, -3.7926, 9.212, -0.0608, -0.0608, -0.1216, 79.0, -52.0, -48.0
1720850218.7372134,-2.0286, -3.9004, 9.1826, -0.0608, -0.0608, 15.3824, 77.0, -48.0, -48.0
1720850219.7516725,-1.9502, -3.92, 9.3394, -0.1216, 15.504, -15.504, 78.0, -50.0, -48.0
1720850220.7657657,-1.9992, -3.92, 9.212, -0.0608, -0.0608, -0.2432, 81.0, -51.0, -44.0
1720850221.78021,-1.9404, -3.9004, 9.3884, -0.0608, 15.504, -15.5648, 77.0, -49.0, -48.0
1720850222.7941036,-1.9894, -3.969, 9.3786, 0.0, 0.0, -15.4432, 80.0, -50.0, -44.0
1720850223.8084848,-1.8914, -3.9102, 9.4472, -0.0608, 15.504, -15.504, 79.0, -50.0, -44.0
1720850224.8230004,-2.0286, -3.8024, 9.0748, -0.1216, 15.504, -15.5648, 80.0, -51.0, -44.0
1720850225.837207,-1.9012, -3.9102, 9.3688, -0.1824, -0.0608, -0.2432, 79.0, -50.0, -48.0
1720850226.8513489,-1.9306, -3.8808, 9.3296, 0.0, -15.5648, 15.4432, 80.0, -51.0, -44.0
1720850227.8661923,-1.9894, -3.9494, 9.1532, -0.0608, -0.0608, -0.1824, 78.0, -51.0, -48.0
1720850228.8808641,-1.8914, -3.9004, 9.2904, -0.1216, 15.504, -15.3824, 77.0, -51.0, -48.0
1720850229.8952806,-1.911, -3.8416, 9.1434, -0.1216, -0.0608, -0.1216, 79.0, -53.0, -44.0
1720850230.909426,-1.9306, -3.969, 9.1434, -0.0608, 15.504, -15.5648, 81.0, -51.0, -44.0
1720850231.923442,-1.9208, -3.8318, 9.2708, -0.0608, 15.504, -15.504, 82.0, -50.0, -48.0
1720850232.9377449,-1.9698, -3.7632, 9.0944, -0.1824, -0.0608, -0.0608, 81.0, -51.0, -48.0
1720850233.9519453,-1.8718, -3.7828, 9.4864, -0.3648, -0.0608, -0.912, 80.0, -52.0, -48.0
