"[872.9048, 872.9323]",1
"[872.9323, 872.8698]",0
"[872.8698, 872.8525]",1
"[872.8525, 872.8525]",2
"[872.8525, 872.9501]",0
"[872.9501, 872.935]",1
"[872.935, 872.9226]",2
"[872.9226, 872.9802]",0
"[872.9802, 872.9603]",1
"[872.9603, 872.873]",0
"[872.873, 872.8881]",1
"[872.8881, 872.9705]",0
"[872.9705, 872.9306]",1
"[872.9306, 872.9182]",2
"[872.9182, 872.8358]",0
"[872.8358, 872.9182]",0
"[872.9182, 872.9209]",1
"[872.9209, 872.8384]",0
"[872.8384, 872.901]",0
"[872.901, 872.9785]",0
"[872.9785, 872.9387]",1
"[872.9387, 872.9387]",2
"[872.9387, 872.9262]",3
"[872.9262, 872.8438]",0
"[872.8438, 872.9138]",0
"[872.9138, 872.8589]",0
"[872.8589, 872.9289]",0
"[872.9289, 872.9014]",1
"[872.9014, 872.944]",2
"[872.944, 872.8491]",0
"[872.8491, 872.9515]",0
"[872.9515, 872.9742]",1
"[872.9742, 872.9267]",2
"[872.9267, 872.8793]",3
"[872.8793, 872.8868]",4
