"[881.2284, 881.2978]",0
"[881.2978, 881.2774]",0
"[881.2774, 881.2846]",0
"[881.2846, 881.2787]",0
"[881.2787, 881.2931]",0
"[881.2931, 881.2309]",0
"[881.2309, 881.2393]",0
"[881.2393, 881.2609]",0
"[881.2609, 881.3231]",0
"[881.3231, 881.2418]",0
"[881.2418, 881.2084]",0
"[881.2084, 881.2431]",0
"[881.2431, 881.3197]",0
"[881.3197, 881.2993]",0
"[881.2993, 881.2731]",0
"[881.2731, 881.2671]",0
"[881.2671, 881.3162]",0
"[881.3162, 881.2481]",0
"[881.2481, 881.2637]",0
"[881.2637, 881.2649]",0
"[881.2649, 881.2937]",0
"[881.2937, 881.2518]",0
"[881.2518, 881.2386]",0
"[881.2386, 881.253]",0
"[881.253, 881.253]",0
"[881.253, 881.2818]",0
"[881.2818, 881.2483]",0
"[881.2483, 881.3105]",0
"[881.3105, 881.2699]",0
"[881.2699, 881.277]",0
"[881.277, 881.2842]",0
"[881.2842, 881.3536]",0
"[881.3536, 881.3202]",0
"[881.3202, 881.2173]",0
"[881.2173, 881.2245]",0
"[881.2245, 881.2867]",0
"[881.2867, 881.246]",0
"[881.246, 881.343]",0
"[881.343, 881.2473]",0
"[881.2473, 881.2066]",0
"[881.2066, 881.2485]",0
"[881.2485, 881.27]",0
"[881.27, 881.27]",0
"[881.27, 881.2844]",0
"[881.2844, 881.1959]",0
"[881.1959, 881.2653]",0
"[881.2653, 881.2522]",0
"[881.2522, 881.2869]",0
"[881.2869, 881.2258]",0
"[881.2258, 881.2665]",0
"[881.2665, 881.2606]",0
"[881.2606, 881.2199]",0
"[881.2199, 881.3037]",0
"[881.3037, 881.2833]",0
"[881.2833, 881.2702]",0
"[881.2702, 881.3049]",0
"[881.3049, 881.2714]",0
"[881.2714, 881.3408]",0
"[881.3408, 881.2654]",0
"[881.2654, 881.287]",0
"[881.287, 881.3145]",0
"[881.3145, 881.2116]",0
"[881.2116, 881.2882]",0
"[881.2882, 881.3026]",0
"[881.3026, 881.275]",0
"[881.275, 881.2487]",0
"[881.2487, 881.2762]",0
"[881.2762, 881.2631]",0
"[881.2631, 881.305]",0
"[881.305, 881.2774]",0
"[881.2774, 881.202]",0
"[881.202, 881.2368]",0
"[881.2368, 881.2727]",0
"[881.2727, 881.3493]",0
"[881.3493, 881.2595]",0
"[881.2595, 881.3158]",0
"[881.3158, 881.2404]",0
"[881.2404, 881.3649]",0
"[881.3649, 881.317]",0
"[881.317, 881.311]",0
"[881.311, 881.2703]",0
"[881.2703, 881.2847]",0
"[881.2847, 881.299]",0
"[881.299, 881.2715]",0
"[881.2715, 881.293]",0
"[881.293, 881.3421]",0
"[881.3421, 881.3086]",0
"[881.3086, 881.3433]",0
"[881.3433, 881.22]",0
"[881.22, 881.2547]",0
"[881.2547, 881.2487]",0
"[881.2487, 881.3038]",0
"[881.3038, 881.2847]",0
"[881.2847, 881.2368]",0
